"","Subject","MRT","ACC"
"1",99998,629.775,0.833333333333333
"2",12345,1390.57916666667,0.804166666666667
"3",23601,1136.54166666667,0.9
"4",30594,2788.68333333333,0.716666666666667
"5",61308,992.908333333333,0.658333333333333
"6",68809,1009.675,0.775
"7",71284,1524.13333333333,0.766666666666667
"8",71500,925.441666666667,0.9
"9",71608,1101.91666666667,0.85
"10",72055,1185.475,0.95
"11",72694,1640.70833333333,0.8
"12",74848,1847.275,0.733333333333333
"13",75205,2196.3,0.825
"14",76075,810.416666666667,1
"15",76678,3714.425,0.691666666666667
"16",76888,2168.425,0.875
"17",77221,2250.46666666667,0.791666666666667
"18",77410,2193.44166666667,0.758333333333333
"19",77533,863.691666666667,0.983333333333333
"20",78778,740.05,0.866666666666667
"21",78817,14872.05,0.641666666666667
"22",80016,1280.26666666667,0.883333333333333
"23",80032,970.016666666667,0.95
"24",80146,753.65,0.841666666666667
"25",80218,1401.61666666667,0.8
"26",80380,715.383333333333,0.9
"27",80521,1001.55,0.841666666666667
"28",80620,779.175,0.816666666666667
"29",80815,707.258333333333,0.9
"30",80911,851.625,0.9
"31",81013,804,0.783333333333333
"32",81040,1091.325,0.85
"33",81115,954.516666666667,0.766666666666667
"34",81187,1518.06666666667,0.841666666666667
"35",81190,1066.12083333333,0.6125
"36",81208,2552.41666666667,0.908333333333333
"37",81211,1002.375,0.983333333333333
"38",81259,737.216666666667,0.916666666666667
"39",81262,858.525,0.983333333333333
"40",81298,1182.78333333333,0.808333333333333
"41",81319,747.783333333333,0.916666666666667
"42",81427,1089.25,0.733333333333333
"43",81439,1428.95,0.975
"44",81472,1295.85,0.758333333333333
"45",81526,967.8,0.808333333333333
"46",81577,994.233333333333,0.941666666666667
"47",81640,1620.93333333333,0.95
"48",81670,707.75,0.783333333333333
"49",81943,2139.48333333333,0.883333333333333
"50",82111,1640.60833333333,0.741666666666667
"51",83956,1555.13333333333,0.941666666666667
"52",84322,1803.18333333333,0.916666666666667
"53",84346,1786.775,0.825
"54",84820,9374.81666666667,0.625
"55",84826,1393.38333333333,0.9
"56",84841,2368.63333333333,0.866666666666667
"57",85441,1687.1,0.816666666666667
"58",85453,1250.16666666667,0.75
"59",85474,994.55,0.966666666666667
"60",85480,1370.76666666667,0.7
"61",85513,1062.34166666667,0.916666666666667
"62",85582,5013.51666666667,0.641666666666667
"63",85585,1270.36666666667,0.883333333333333
"64",85597,3831.69166666667,0.841666666666667
"65",85636,6709.3,0.816666666666667
"66",85780,1478.575,0.933333333333333
"67",85819,781.325,0.908333333333333
"68",85861,952.891666666667,0.916666666666667
"69",85888,1018.125,0.95
"70",85942,2118.61666666667,0.95
"71",86029,2382.125,0.616666666666667
"72",86068,1207.48333333333,0.916666666666667
"73",86083,2523.49166666667,0.891666666666667
"74",86086,760.35,0.958333333333333
"75",86110,1149.325,0.933333333333333
"76",86152,1402.275,0.733333333333333
"77",86158,912.358333333333,0.983333333333333
"78",86194,3053,0.75
"79",86218,1243.85,0.916666666666667
"80",86230,1717.25,0.85
"81",86293,1067.99166666667,0.866666666666667
"82",86359,2131.05,0.608333333333333
"83",86362,878.191666666667,0.9
"84",86383,830.058333333333,0.866666666666667
"85",86389,1434.20833333333,0.85
"86",86404,1178.30833333333,0.95
"87",86410,1540.39166666667,0.925
"88",86449,1160.50833333333,0.883333333333333
"89",86485,835.2,0.95
"90",86494,1608.34166666667,0.741666666666667
"91",86500,2574.91666666667,0.791666666666667
"92",86518,1943.10833333333,0.883333333333333
"93",86524,1156.45,0.833333333333333
"94",86527,940.966666666667,0.991666666666667
"95",86545,970.841666666667,0.95
"96",86629,1727.09166666667,0.966666666666667
"97",86632,2509.64166666667,0.75
"98",86659,1932.93333333333,0.966666666666667
"99",86680,1763.075,0.733333333333333
"100",86689,1701.175,0.666666666666667
"101",86824,1676.525,0.941666666666667
"102",86845,1282.41666666667,1
"103",86848,942.2,0.975
"104",86875,1169.875,0.916666666666667
"105",86881,711.208333333333,0.933333333333333
"106",86884,1329.73333333333,0.916666666666667
"107",86914,938.508333333333,0.975
"108",86926,1450.75833333333,0.791666666666667
"109",86950,770.808333333333,0.683333333333333
"110",86959,880.3,0.95
"111",86977,1433.00833333333,0.95
"112",86998,2527.85833333333,0.941666666666667
"113",87013,934.325,0.958333333333333
"114",87034,1984.46666666667,0.85
"115",87043,2089.05833333333,0.741666666666667
"116",87115,1402.49166666667,0.725
"117",87223,648.508333333333,0.908333333333333
"118",87232,1244.45,0.966666666666667
"119",87250,2123.79166666667,0.766666666666667
"120",87295,800.95,0.866666666666667
"121",87298,1145.38333333333,0.8
"122",87316,1856.75,0.775
"123",87325,2343.70833333333,0.958333333333333
"124",87346,2597.00833333333,0.766666666666667
"125",87403,920.533333333333,0.966666666666667
"126",87409,1590.3,0.675
"127",87478,1097.58333333333,0.866666666666667
"128",87481,2137.08333333333,0.916666666666667
"129",88627,905.816666666667,0.691666666666667
"130",88684,1989.79166666667,0.791666666666667
"131",88702,649.416666666667,0.95
"132",88750,1073.21666666667,0.858333333333333
"133",88864,1037.33333333333,0.75
"134",88888,1802.6,0.7
"135",88903,2295.13333333333,0.633333333333333
"136",88912,1422.26666666667,0.733333333333333
"137",88918,3177.47916666667,0.775
"138",89188,3192.5,0.875
"139",2105,1430.33333333333,0.9
"140",3132,1737.85833333333,0.966666666666667
"141",3253,2311.4,0.825
"142",99999,1148.8,0.883333333333333
"143",448,1770.95,0.675
